title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Secure instruction and data-level information flow tracking model for risc-v,"GS Nicholas, DV Aklekar, B Thakar, F Saqib",2023,8,… The RISC-V security committee has proposed an abstraction-augmented aISA that extends … RISC-V extensions to support the IFT model provide strong timing-sensitive security behavior …,AlwNTpT_mZcJ,"GS Nicholas, DV Aklekar, B Thakar, F Saqib - Cryptography, 2023 - mdpi.com",[],https://www.mdpi.com/2410-387X/7/4/58,unknown,unknown
MAMBO–V: Dynamic side-channel leakage analysis on RISC–V,"J Wichelmann, C Peredy, F Sieck, A Pätschke…",2023,12,"… Like MAMBO, MAMBO–V aims for behavioral transparency: … toolchain that collects RISC–V execution traces and converts … state of side-channel security on RISC–V, we analyze a …",LK6id935cNgJ,"J Wichelmann, C Peredy, F Sieck, A Pätschke… - … on Detection of …, 2023 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-35504-2_1,unknown,unknown
Security verification of RISC-V system based on ISA level information flow tracking,"L Wu, Y Gao, J Zhu, Y Tai, W Hu",2023,5,… security model for RISC-V ISA and the processor design based on IFT. We then perform software security … processor can successfully detect hardware behaviors that violate the security …,2xHW_h_J2TwJ,"L Wu, Y Gao, J Zhu, Y Tai, W Hu - 2023 IEEE 32nd Asian Test …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10317944/,unknown,unknown
A security risc: microarchitectural attacks on hardware risc-v cpus,"L Gerlach, D Weber, R Zhang…",2023,63,… 64-bit RISC-V (hardware) CPUs used in most RISC-V systems … We also show that many known attacks apply to these RISC-V … We verify that fence.i shows this behavior on both CPUs. …,Fj0ed567X4EJ,"L Gerlach, D Weber, R Zhang… - … Security and Privacy (SP …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10179399/,unknown,unknown
RISCover: Automatic Discovery of User-exploitable Architectural Security Vulnerabilities in Closed-Source RISC-V CPUs,"F Thomas, EG Arribas, L Hetterich, D Weber…",2025,11,"… in closed-source RISC-V CPUs. It compares instruction-sequence behavior across CPUs, … primitives, as they follow the architectural specification but leave microarchitectural traces. …",wS5ObRWkUhYJ,"F Thomas, EG Arribas, L Hetterich, D Weber… - … Security, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3719027.3765141,unknown,unknown
R5Detect: Detecting control-flow attacks from standard RISC-V enclaves,"D Bove, L Panzer",2024,3,… -power RISC-V devices and show that such security features … behavior on low-power IoT and embedded devices based on the … system based on the RISC-V instruction trace encoder. In: …,CnBvLLI3D6EJ,"D Bove, L Panzer - arXiv preprint arXiv:2404.03771, 2024 - arxiv.org",[],https://arxiv.org/abs/2404.03771,unknown,unknown
CCTAG: Configurable and Combinable Tagged Architecture.,"Z Liu, Y Rong, C Li, W Tan, Y Li, X Han, S Yang…",2025,4,… Our RISC-V prototype on an FPGA board demonstrates that … information flow tracking can also support taint-based security … on the RISCV architecture and conduct extensive evaluation …,L0vA1ktxQBsJ,"Z Liu, Y Rong, C Li, W Tan, Y Li, X Han, S Yang… - NDSS, 2025 - netsec.ccert.edu.cn",[],https://netsec.ccert.edu.cn/files/papers/ndss25-cctag.pdf,unknown,unknown
Raft: hardware-assisted dynamic information flow tracking for runtime protection on RISC-V,"Y Wang, J Wu, H Zheng, Z Ning, B He…",2023,8,… functionality in detecting various security use cases. We also conduct a detailed evaluation … Our goal is to track live data flow and detect security violations at runtime without delay to …,CDPI9APuZiQJ,"Y Wang, J Wu, H Zheng, Z Ning, B He… - Proceedings of the 26th …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3607199.3607246,unknown,unknown
DeTRAP: RISC-V return address protection with debug triggers,"I Richter, J Zhou, J Criswell",2024,8,"… While tracing the discovered instructions in untrusted code, the scanner checks for corruption … To examine DeTRAP’s security, we examined its effectiveness against RiscyROP [21]: the …",C_K5j-lroLIJ,"I Richter, J Zhou, J Criswell - 2024 IEEE Secure Development …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10734038/,unknown,unknown
Identification of return-oriented programming attacks using risc-v instruction trace data,"DF Koranek, SR Graham, BJ Borghetti…",2022,13,… exploited RISC-V program behavior using execution traces. We first developed a dataset of execution traces containing Return Oriented Programming (ROP) exploitation on the RISC-V …,EFj03cPMwKMJ,"DF Koranek, SR Graham, BJ Borghetti… - IEEE Access, 2022 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9762913/,unknown,unknown
