title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
"Side-channel attacks on risc-v processors: Current progress, challenges, and opportunities","MM Ahmadi, F Khalid, M Shafique",2021,29,"… As shown in Figure 1, the execution of software leaves side-channel traces at different … the security vulnerabilities in one of the most important emerging microprocessors, ie, RISC-V. …",EvIR2l7yEWsJ,"MM Ahmadi, F Khalid, M Shafique - arXiv preprint arXiv:2106.08877, 2021 - arxiv.org",[],https://arxiv.org/abs/2106.08877,unknown,unknown
Towards designing a secure RISC-V system-on-chip: ITUS,"VBY Kumar, S Deb, N Gupta, S Bhasin…",2020,24,… (the \(\mathbb {TCB}\) in particular) and how the CMs cover these weaknesses while also keeping track of security properties—would help in arriving at an optimal CM integration plan. …,83iqAI9xj0UJ,"VBY Kumar, S Deb, N Gupta, S Bhasin… - … and Systems Security, 2020 - Springer",[],https://link.springer.com/article/10.1007/s41635-020-00108-8,unknown,unknown
RvDfi: A RISC-V Architecture With Security Enforcement by High Performance Complete Data-Flow Integrity,"L Feng, J Huang, L Li, H Zhang…",2021,11,"… Trace Macrocell to generate the control-flow traces, which are sent to an FPGA through ARM Trace … Therefore, we separately conduct the experiments with MSHRs enabled and disabled…",XsYIdcrKKycJ,"L Feng, J Huang, L Li, H Zhang… - IEEE Transactions on …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9645368/,unknown,unknown
A survey on risc-v security: Hardware and architecture,T Lu,2021,90,"… In this model, program writing needs to avoid sensitive data access leaving traces on … As the next step, we will continue to conduct a comprehensive study of RISC-V firmware and system…",tzM29S0T4f8J,"T Lu - arXiv preprint arXiv:2107.04175, 2021 - arxiv.org",[],https://arxiv.org/abs/2107.04175,unknown,unknown
Design and Evaluation of an N-Trace Compliant Hardware Tracer for RISC-V Processors,"O Karslioglu, I Akturk",2025,0,"… behavior monitoring and trace compression. This overview highlights the current state of RISC-V tracing … , their work primarily targets security applications, rather than trace efficiency or …",rvyFZGj1q9EJ,"O Karslioglu, I Akturk - 2025 IEEE 43rd International …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11310966/,unknown,unknown
Spear-v: Secure and practical enclave architecture for risc-v,"D Schrammel, M Waser, L Lamster…",2023,14,"… Furthermore, a compromised OS may not adhere to the defined behaviour for syscalls. We … The PTW keeps track of the immutability of the fetched page tables at every paging level. In …",O700tzMIk_sJ,"D Schrammel, M Waser, L Lamster… - … Security, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3579856.3595784,unknown,unknown
COGENT: Adaptable Compiler Toolchain for Tagging RISC-V Binaries,"DB Demicco, M Cole, G Yuksek, RT Gollapudi…",2025,1,"… binaries for a variety of testing, debugging, and security … a default behavior for tag lowering via a modified RISC-V backend. … We compared this to the example call trace in Pintools [16], a …",PEnAK5ucyS0J,"DB Demicco, M Cole, G Yuksek, RT Gollapudi… - Proceedings of the 30th …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3676642.3736125,unknown,unknown
Morpheus II: A RISC-V security extension for protecting vulnerable software and hardware,"A Harris, T Verma, S Wei, L Biernacki…",2021,31,… Restricting control flow behavior. Restricting the control flow behavior of programs limits … area and power overheads than Morpheus II due to cache modifications to track pointers. …,xgAKmAdjDfYJ,"A Harris, T Verma, S Wei, L Biernacki… - … Oriented Security …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9702275/,unknown,unknown
TrackRISC: An Implicit Attack Flow Model and Hardware Microarchitectural Mitigation for Speculative Cache-Based Covert Channels,"Z Zhang, AI Sanka, Y She, J Hong, PSY Hung…",2025,0,"… on RISC-V to experimentally demonstrate that the representative existing defense remains vulnerable to implicit attacks, and to validate the security … , a security-enhanced tracking and …",i-o_Qg3w7JcJ,"Z Zhang, AI Sanka, Y She, J Hong, PSY Hung… - Electronics, 2025 - mdpi.com",[],https://www.mdpi.com/2079-9292/14/20/3973,unknown,unknown
Simulation-Based Software Leakage Evaluation for the RISC-V Platform,"N Schmitt, J Zeitschner, A Heinemann",2025,0,"… behavior of the processor when executing a particular software, and therefore performing statistical analysis on the simulated traces. … 329 seconds to complete 10000 traces. We can see …",khHkakhRdN4J,"N Schmitt, J Zeitschner, A Heinemann - … on Information Security, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-08124-7_9,unknown,unknown
